2026-01-17 12:07:59,909 | INFO | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_output] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_output]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:07:59,909 | INFO | solace_ai_connector.solace_ai_connector | Creating app a2a_webui_app
2026-01-17 12:07:59,983 | WARNING | solace_agent_mesh.gateway.base.app | [a2a_webui_app] Configuration key 'gateway_artifact_content_limit_bytes' (value: 10000000) is deprecated. Please use 'gateway_max_artifact_resolve_size_bytes'. Using value from old key.
2026-01-17 12:07:59,983 | INFO | solace_agent_mesh.gateway.base.app | Generated Solace subscriptions for gateway 'webui-gateway': [{'topic': 'default/a2a/v1/discovery/>'}, {'topic': 'default/a2a/v1/gateway/response/webui-gateway/>'}, {'topic': 'default/a2a/v1/gateway/status/webui-gateway/>'}]
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing Base Gateway Component...
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Retrieved common configs: Namespace=default, GatewayID=webui-gateway
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.core_a2a.service | [CoreA2AService-WebUI] Initialized with namespace: default
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: /tmp/samv2
2026-01-17 12:07:59,984 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.common.services.identity_service | [IdentityFactory] No 'identity_service' configuration found. Skipping creation.
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Middleware system initialized (using default configuration resolver).
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initialized Base Gateway Component.
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Initializing Web UI Backend Component...
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  WebUI-specific configuration retrieved (Host: 0.0.0.0, Port: 8000).
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Scheduling agent health check every 10 seconds.
2026-01-17 12:07:59,985 | INFO | solace_agent_mesh.gateway.http_sse.session_manager | Initialized SessionManager
2026-01-17 12:07:59,986 | INFO | solace_agent_mesh.common.sam_events.event_service | [SamEventService] Initialized for component <unnamed>_gateway in namespace default
2026-01-17 12:07:59,986 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Data retention is enabled. Initializing service and timer...
2026-01-17 12:07:59,986 | INFO | solace_agent_mesh.gateway.http_sse.services.data_retention_service | [DataRetentionService] Initialized with task_retention=90 days, feedback_retention=90 days, cleanup_interval=24 hours, batch_size=1000
2026-01-17 12:07:59,986 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Data retention timer created with ID 'data_retention_cleanup_webui-gateway' and interval 24 hours.
2026-01-17 12:07:59,987 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Running database migrations...
2026-01-17 12:08:00,134 | INFO | solace_agent_mesh.gateway.http_sse.routers.visualization | Initialized Router for A2A Message Visualization.
2026-01-17 12:08:00,246 | INFO | solace_agent_mesh.gateway.http_sse.dependencies | Configuring SQLite database (single-connection mode)
2026-01-17 12:08:00,247 | INFO | solace_agent_mesh.gateway.http_sse.dependencies | Database initialized successfully
2026-01-17 12:08:00,247 | INFO | solace_agent_mesh.gateway.http_sse.main | [WebUI Gateway] Running database migrations...
2026-01-17 12:08:00,247 | INFO | solace_agent_mesh.gateway.http_sse.main | [WebUI Gateway] Starting community migrations...
2026-01-17 12:08:00,248 | INFO | solace_agent_mesh.gateway.http_sse.main | [WebUI Gateway] Running initial database setup
2026-01-17 12:08:00,249 | INFO | alembic.runtime.migration | Context impl SQLiteImpl.
2026-01-17 12:08:00,249 | INFO | alembic.runtime.migration | Will assume non-transactional DDL.
2026-01-17 12:08:00,260 | INFO | alembic.runtime.migration | Running upgrade  -> d5b3f8f2e9a0, Unified migration for initial schema
2026-01-17 12:08:00,280 | INFO | alembic.runtime.migration | Running upgrade d5b3f8f2e9a0 -> b1c2d3e4f5g6, Add database indexes for performance optimization
2026-01-17 12:08:00,313 | INFO | alembic.runtime.migration | Running upgrade b1c2d3e4f5g6 -> f6e7d8c9b0a1, Convert timestamps to epoch milliseconds and align column names
2026-01-17 12:08:00,329 | INFO | alembic.runtime.migration | Running upgrade f6e7d8c9b0a1 -> 98882922fa59, add tasks, task_events, feedback, and chat_tasks tables
2026-01-17 12:08:00,625 | INFO | alembic.runtime.migration | Running upgrade 98882922fa59 -> 20251015_session_idx, add performance indexes for query optimization
2026-01-17 12:08:00,682 | INFO | alembic.runtime.migration | Running upgrade 20251015_session_idx -> add_projects_table_001, Add projects table and project_id to sessions
2026-01-17 12:08:00,731 | INFO | alembic.runtime.migration | Running upgrade add_projects_table_001 -> add_project_users_001, Add project_users table for multi-user project access
2026-01-17 12:08:00,761 | INFO | alembic.runtime.migration | Running upgrade add_project_users_001 -> soft_del_search_001, Add soft delete and search support for sessions and projects
2026-01-17 12:08:00,813 | INFO | alembic.runtime.migration | Running upgrade soft_del_search_001 -> default_agent_001, add default agent to projects
2026-01-17 12:08:00,824 | INFO | alembic.runtime.migration | Running upgrade default_agent_001 -> 20251108_prompt_tables_complete, Create prompt tables with role-based sharing support
2026-01-17 12:08:00,893 | INFO | alembic.runtime.migration | Running upgrade 20251108_prompt_tables_complete -> 20251115_add_parent_task_id, Add parent_task_id to tasks table
2026-01-17 12:08:00,904 | INFO | alembic.runtime.migration | Running upgrade 20251115_add_parent_task_id -> 20251202_versioned_prompt_fields, Add versioned metadata fields to prompts table
2026-01-17 12:08:00,925 | INFO | alembic.runtime.migration | Running upgrade 20251202_versioned_prompt_fields -> 20251126_background_tasks, Add background task execution fields
2026-01-17 12:08:00,953 | INFO | solace_agent_mesh.gateway.http_sse.main | [WebUI Gateway] Community migrations completed
2026-01-17 12:08:00,953 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Database migrations completed
2026-01-17 12:08:00,953 | INFO | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Web UI Backend Component initialized.
2026-01-17 12:08:00,954 | INFO | solace_agent_mesh.gateway.base.app | BaseGatewayApp 'a2a_webui_app' initialized successfully.
2026-01-17 12:08:00,954 | INFO | solace_ai_connector.solace_ai_connector | Creating app changelog-basic_app
2026-01-17 12:08:00,955 | INFO | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'ChangelogBasic' in Namespace: 'default'
2026-01-17 12:08:00,955 | INFO | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'ChangelogBasic': [{'topic': 'default/a2a/v1/agent/request/ChangelogBasic'}, {'topic': 'default/a2a/v1/discovery/>'}, {'topic': 'default/a2a/v1/agent/response/ChangelogBasic/>'}, {'topic': 'default/a2a/v1/agent/status/ChangelogBasic/>'}, {'topic': 'default/sam/events/session/>'}]
2026-01-17 12:08:00,956 | INFO | solace_ai_connector.components.component_base | [changelog-basic_app_broker_input] [solace_ai_connector.changelog-basic_app_implicit_flow.changelog-basic_app_broker_input]  Multi-session request/response is enabled.
2026-01-17 12:08:00,956 | INFO | solace_ai_connector.components.component_base | [changelog-basic_app_broker_input] [solace_ai_connector.changelog-basic_app_implicit_flow.changelog-basic_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,956 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
2026-01-17 12:08:00,956 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,956 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-17 12:08:00,956 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-17 12:08:00,956 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initializing agent: ChangelogBasic (A2A ADK Host Component)...
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Default session behavior set to: PERSISTENT
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Artifact Handling Mode: ignore
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initializing synchronous ADK services...
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initializing Session Service of type: memory
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: /tmp/samv2
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initializing Memory Service of type: memory
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  No credential service configured, skipping initialization
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initialized Synchronous ADK services.
2026-01-17 12:08:00,957 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Scheduling agent health check every 10 seconds.
2026-01-17 12:08:00,958 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-basic_app_implicit_flow.<unnamed>]  Initialized agent: ChangelogBasic
2026-01-17 12:08:00,958 | INFO | solace_ai_connector.components.component_base | [changelog-basic_app_broker_output] [solace_ai_connector.changelog-basic_app_implicit_flow.changelog-basic_app_broker_output]  Multi-session request/response is enabled.
2026-01-17 12:08:00,958 | INFO | solace_ai_connector.components.component_base | [changelog-basic_app_broker_output] [solace_ai_connector.changelog-basic_app_implicit_flow.changelog-basic_app_broker_output]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,958 | INFO | solace_ai_connector.solace_ai_connector | Creating app changelog-enriched_app
2026-01-17 12:08:00,959 | INFO | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'ChangelogEnriched' in Namespace: 'default'
2026-01-17 12:08:00,959 | INFO | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'ChangelogEnriched': [{'topic': 'default/a2a/v1/agent/request/ChangelogEnriched'}, {'topic': 'default/a2a/v1/discovery/>'}, {'topic': 'default/a2a/v1/agent/response/ChangelogEnriched/>'}, {'topic': 'default/a2a/v1/agent/status/ChangelogEnriched/>'}, {'topic': 'default/sam/events/session/>'}]
2026-01-17 12:08:00,960 | INFO | solace_ai_connector.components.component_base | [changelog-enriched_app_broker_input] [solace_ai_connector.changelog-enriched_app_implicit_flow.changelog-enriched_app_broker_input]  Multi-session request/response is enabled.
2026-01-17 12:08:00,960 | INFO | solace_ai_connector.components.component_base | [changelog-enriched_app_broker_input] [solace_ai_connector.changelog-enriched_app_implicit_flow.changelog-enriched_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,960 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
2026-01-17 12:08:00,960 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initializing agent: ChangelogEnriched (A2A ADK Host Component)...
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Default session behavior set to: PERSISTENT
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Artifact Handling Mode: ignore
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initializing synchronous ADK services...
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initializing Session Service of type: memory
2026-01-17 12:08:00,960 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: /tmp/samv2
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initializing Memory Service of type: memory
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  No credential service configured, skipping initialization
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initialized Synchronous ADK services.
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Scheduling agent health check every 10 seconds.
2026-01-17 12:08:00,961 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-enriched_app_implicit_flow.<unnamed>]  Initialized agent: ChangelogEnriched
2026-01-17 12:08:00,962 | INFO | solace_ai_connector.components.component_base | [changelog-enriched_app_broker_output] [solace_ai_connector.changelog-enriched_app_implicit_flow.changelog-enriched_app_broker_output]  Multi-session request/response is enabled.
2026-01-17 12:08:00,962 | INFO | solace_ai_connector.components.component_base | [changelog-enriched_app_broker_output] [solace_ai_connector.changelog-enriched_app_implicit_flow.changelog-enriched_app_broker_output]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,962 | INFO | solace_ai_connector.solace_ai_connector | Creating app changelog-github_app
2026-01-17 12:08:00,962 | INFO | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'ChangelogGitHub' in Namespace: 'default'
